isolation.period	migration.period	theta	rho	migration	posterior
0.000675724429182	0.00336999442699	0.00162191995819	0.302934090747	242.92163203	-49736.2401549
0.00106822835355	0.003334753447	0.00166085396155	0.349032030319	290.91075059	-49732.8449947
0.00113918240385	0.0036922645484	0.00165953509539	0.191811105965	573.280970166	-49737.8978348
0.000884018922743	0.00305103562083	0.0022780867716	0.264424152103	239.115688456	-49736.0454446
0.000637277767369	0.00344387393339	0.0016161476563	0.368173548504	205.190046671	-49736.0786077
0.00101565954281	0.00345283924403	0.00153015133792	0.287773494213	345.379424801	-49733.4744509
0.000944836142475	0.00265966003887	0.00230402346079	0.210614533258	271.795159821	-49734.3542736
0.000833350109051	0.0028311295196	0.00235135448654	0.238191231439	310.594308977	-49733.1400327
0.000780856490253	0.00337531895561	0.00198965976313	0.298858774217	288.20176898	-49733.1803278
0.00108145809447	0.00331668300197	0.00182851828409	0.251901292353	389.38066291	-49732.2375913
0.000988401335148	0.00338252330276	0.00178153960267	0.274330580768	301.239910472	-49732.1873511
0.000626272681356	0.00291621557654	0.00217946082777	0.281433164395	231.734323634	-49734.9721931
0.00100622408725	0.00323994920705	0.00167897462151	0.247436924178	271.642927067	-49733.4167632
0.000939184242539	0.00321935735479	0.00178090332273	0.328689834578	274.418995821	-49732.5884712
0.000910522795096	0.00324170445183	0.00161991363048	0.316099724749	230.391557864	-49733.4092267
0.00106419650976	0.0033668976315	0.00184858131902	0.357540265244	439.343066577	-49734.8204179
0.00103877658018	0.00388359688827	0.00165101828905	0.392900843294	328.404035817	-49734.4577566
0.000947029087111	0.00410909749382	0.00141444016751	0.382845606874	254.416691544	-49734.7352746
0.00108637169998	0.00305958737997	0.00225584762808	0.245281718708	560.967392777	-49733.476259
0.000991927343568	0.00328975882078	0.00161326725531	0.29121798359	314.590328029	-49732.8702896
0.000904611777369	0.0027522274166	0.00246476680595	0.299968059221	371.985792775	-49734.8258332
0.000928448836771	0.00374450189609	0.00149680134358	0.369090259034	306.317692054	-49733.4298926
0.00126830305418	0.00321221361472	0.0017825563977	0.203451303296	514.056535574	-49734.9737397
0.00118329653772	0.00317715616672	0.00221062586443	0.235325257694	507.203110969	-49734.3581821
0.00119487359418	0.00308631143654	0.00160520359208	0.373412571645	280.931688323	-49735.8616865
0.00108419082995	0.00373126848443	0.00140363821952	0.361985202917	353.952377462	-49733.738523
0.0010390760055	0.00274176560649	0.00222936949341	0.208662812249	631.61668838	-49735.1530859
0.000888085746258	0.00293156999377	0.00198161901962	0.276081310095	303.900620592	-49732.9979233
0.00129387306019	0.0037050497369	0.00147830824242	0.329847750443	306.935275559	-49736.4359732
0.000922368440658	0.00321268960307	0.00214564150001	0.267979777784	335.009490954	-49732.7472492
0.00106201618752	0.00389498262101	0.00128527071277	0.366318296874	325.185223128	-49734.0288016
0.000859627386165	0.00314194682818	0.0022286562927	0.251461628131	305.898611528	-49733.2138691
0.00103761133723	0.0034877413331	0.0014841255122	0.341949855713	271.796640001	-49732.5709998
0.000952463591754	0.00263523121955	0.0023817431373	0.177286128955	363.267310505	-49734.4083379
0.000935723030176	0.0034905480737	0.00183791329477	0.315170005187	408.317546192	-49733.9824118
0.000975935509615	0.00301898711864	0.00156868341326	0.24143554418	285.350016403	-49736.3367932
0.000753551457275	0.00293879035613	0.0020135717717	0.225808681635	300.444243479	-49734.8904903
0.000863073419243	0.0028461834267	0.0020814157663	0.226948085107	349.313472745	-49733.7866439
0.00087738120473	0.00355395410483	0.0014707682258	0.502637473677	230.275802244	-49735.6266151
0.000975753333371	0.00373312037692	0.00170496931843	0.383219969311	230.526988947	-49737.1223413
0.000905989324369	0.00377941976954	0.00132221081916	0.583671731152	241.051986385	-49736.6344541
0.00107385087299	0.00384215268798	0.00167972500512	0.259216885719	363.102782938	-49733.9219501
0.00114796590731	0.00269831330447	0.00232547550457	0.193711595719	814.651008026	-49735.6335317
0.00110867226813	0.00323181415653	0.00183604658293	0.289040346363	372.818359199	-49732.32183
0.00113989564239	0.0025926759643	0.00228465826603	0.255516717278	548.828240924	-49734.5417972
0.00086765308626	0.00373053464776	0.00185965856011	0.35531988868	289.032088108	-49734.6147686
0.000756598129197	0.00344227472209	0.0019570107251	0.305646468871	264.860722857	-49733.5530798
0.00101208984292	0.00379143123145	0.00102519992594	0.659818993426	209.170537489	-49735.8355536
0.000642689724269	0.00389436981654	0.00135969026544	0.467249860952	171.444996762	-49737.8698484
0.000918275724815	0.00279714640933	0.00218984902936	0.245836620213	319.76868688	-49732.6939978
0.000997712201318	0.00329063275864	0.00197964830421	0.325230707369	300.225639904	-49733.7034803
0.000981866562625	0.00277496199788	0.00228269634046	0.159327595399	749.787536332	-49738.4267829
0.000651628095662	0.00291648349742	0.00248043204782	0.142338897221	239.458540818	-49740.2267866
0.00102240156142	0.00368839565689	0.00135980249895	0.433342083603	284.201790742	-49733.4654547
0.000780481006094	0.00426116435318	0.00117853201502	0.496348667485	203.467207456	-49737.1762785
